0 a b c d e f g h i j k l m n o p q r s 
A 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
B 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
C 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0
D 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0
E 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0
F 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
G 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
H 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
I 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
J 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
K 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
L 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
M 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
N 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
O 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0
P 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0
Q 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0
R 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
S 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
